Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.08682375,41.52063140,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,37,5.249,90.60,1.000,993.24,10/19/2016,On,20.00,Yes,24.57,19.20,10196,182.08,9749.9,174.11,In,-0.0032,0.0029,0.829,0.00,67.00,1,3.579,8.677,1.206,10.46,0.00012,0.0066,1579.8,0.342,10/19/2016
-85.08680370,41.52063108,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,38,5.492,90.70,1.000,993.13,10/19/2016,On,20.00,Yes,21.06,20.10,8353.6,149.17,7898.8,141.05,In,-0.0018,0.0032,0.795,0.00,67.00,1,3.745,9.078,1.257,11.41,0.00015,0.0084,1354.2,0.328,10/19/2016
-85.08678416,41.52063101,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,39,5.226,90.70,1.000,993.14,10/19/2016,On,20.00,Yes,22.03,20.20,9178.9,163.91,8668.3,154.79,In,-0.0018,0.0029,0.826,0.00,60.00,1,3.563,8.639,1.211,10.46,0.00013,0.0074,1415.9,0.341,10/19/2016
-85.08676532,41.52063082,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,40,5.207,90.90,1.000,992.90,10/19/2016,On,20.00,Yes,21.01,19.10,8787.1,156.91,8412.8,150.23,In,-0.00046,0.0029,0.823,0.00,60.00,1,3.550,8.606,1.216,10.46,0.00014,0.0077,1350.4,0.339,10/19/2016
-85.08674637,41.52063066,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,41,5.092,91.10,1.000,992.86,10/19/2016,On,20.00,Yes,20.55,19.50,8791.0,156.98,8374.8,149.55,In,0.00045,0.0026,0.885,0.00,63.00,1,3.472,8.416,1.130,9.510,0.00013,0.0072,1321.2,0.365,10/19/2016
-85.08672662,41.52063031,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,42,5.292,90.90,1.000,992.69,10/19/2016,On,20.00,Yes,21.22,19.90,8731.9,155.93,8277.3,147.81,In,-0.0018,0.0026,0.920,0.00,59.00,1,3.608,8.747,1.087,9.510,0.00012,0.0070,1363.9,0.379,10/19/2016
-85.08670644,41.52063001,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,43,5.381,91.10,1.000,992.47,10/19/2016,On,20.00,Yes,20.26,20.20,8200.4,146.44,7744.3,138.29,In,0.00045,0.0026,0.935,0.00,55.00,1,3.669,8.893,1.069,9.510,0.00013,0.0073,1302.3,0.386,10/19/2016
-85.08668645,41.52062964,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,44,5.381,91.00,1.000,992.17,10/19/2016,On,20.00,Yes,21.73,19.80,8796.2,157.07,8348.6,149.08,In,-0.0036,0.0024,1.039,0.00,59.00,1,3.669,8.893,0.962,8.559,0.00011,0.0061,1396.9,0.429,10/19/2016
-85.08666665,41.52062960,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,45,5.476,90.20,1.000,992.04,10/19/2016,On,20.00,Yes,19.22,20.20,7643.1,136.48,7218.0,128.89,In,-4.127e-015,0.0026,0.952,0.00,55.00,1,3.733,9.051,1.051,9.510,0.00014,0.0077,1235.3,0.393,10/19/2016
-85.08664665,41.52062940,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,46,5.413,90.60,1.000,991.72,10/19/2016,On,20.00,Yes,19.16,20.50,7709.8,137.67,7253.6,129.53,In,-0.0018,0.0024,1.045,0.00,55.00,1,3.691,8.948,0.957,8.559,0.00012,0.0069,1231.9,0.431,10/19/2016
