Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Protein(%),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.10563023,41.48314795,STOM BAC P0987,16/11/05-06:04:08,CORN,37,6.378,172.90,1.000,943.42,11/7/2016,On,20.00,Yes,21.13,19.90,7216.6,128.87,6840.9,122.16,In,-0.00045,6553.5,0.0029,1.008,0.00,63.00,1,4.349,10.54,0.992,10.46,0.00014,0.0077,1358.5,0.416,11/7/2016
-85.10562772,41.48313142,STOM BAC P0987,16/11/05-06:04:08,CORN,38,6.198,173.20,1.000,943.56,11/7/2016,On,20.00,Yes,21.44,20.10,7535.7,134.57,7125.5,127.24,In,-0.0036,6553.5,0.0032,0.898,0.00,65.00,1,4.226,10.24,1.114,11.41,0.00015,0.0083,1378.5,0.370,11/7/2016
-85.10562541,41.48311510,STOM BAC P0987,16/11/05-06:04:08,CORN,39,6.198,173.30,1.000,943.44,11/7/2016,On,20.00,Yes,19.28,19.30,6776.1,121.00,6471.4,115.56,In,1.013e-008,6553.5,0.0032,0.898,0.00,68.00,1,4.226,10.24,1.114,11.41,0.00016,0.0092,1239.5,0.370,11/7/2016
-85.10562320,41.48309932,STOM BAC P0987,16/11/05-06:04:08,CORN,40,6.014,173.30,1.000,943.38,11/7/2016,On,20.00,Yes,18.22,18.50,6598.2,117.82,6363.9,113.64,In,-0.0041,6553.5,0.0032,0.871,0.00,61.00,1,4.100,9.940,1.148,11.41,0.00017,0.0097,1171.2,0.359,11/7/2016
-85.10562092,41.48308393,STOM BAC P0987,16/11/05-06:04:08,CORN,41,5.833,173.30,1.000,943.53,11/7/2016,On,20.00,Yes,14.73,19.00,5499.4,98.20,5271.6,94.14,In,8.198e-009,6553.5,0.0029,0.922,0.00,67.00,1,3.977,9.642,1.085,10.46,0.00020,0.011,946.86,0.380,11/7/2016
-85.10561840,41.48306767,STOM BAC P0987,16/11/05-06:04:08,CORN,42,5.833,173.60,1.000,943.47,11/7/2016,On,20.00,Yes,13.44,19.40,5018.5,89.62,4786.9,85.48,In,-0.0041,6553.5,0.0029,0.922,0.00,59.00,1,3.977,9.642,1.085,10.46,0.00022,0.012,864.06,0.380,11/7/2016
-85.10561617,41.48305201,STOM BAC P0987,16/11/05-06:04:08,CORN,43,5.925,173.60,1.000,943.53,11/7/2016,On,20.00,Yes,13.31,19.50,4892.1,87.36,4660.5,83.22,In,-0.00091,6553.5,0.0026,1.030,0.00,58.00,1,4.040,9.794,0.971,9.510,0.00020,0.011,855.56,0.425,11/7/2016
-85.10561374,41.48303652,STOM BAC P0987,16/11/05-06:04:08,CORN,44,5.833,174.40,1.000,943.53,11/7/2016,On,20.00,Yes,13.28,18.80,4958.0,88.54,4764.4,85.08,In,-0.00091,6553.5,0.0026,1.014,0.00,59.00,1,3.977,9.642,0.986,9.510,0.00020,0.011,853.65,0.418,11/7/2016
-85.10561194,41.48302150,STOM BAC P0987,16/11/05-06:04:08,CORN,45,5.833,174.70,1.000,943.60,11/7/2016,On,20.00,Yes,12.49,19.10,4662.4,83.26,4463.8,79.71,In,-0.0036,6553.5,0.0026,1.014,0.00,59.00,1,3.977,9.642,0.986,9.510,0.00021,0.012,802.76,0.418,11/7/2016
-85.10560998,41.48300591,STOM BAC P0987,16/11/05-06:04:08,CORN,46,5.833,174.70,1.000,943.73,11/7/2016,On,20.00,Yes,12.37,19.20,4617.8,82.46,4415.6,78.85,In,-0.00091,6553.5,0.0026,1.014,0.00,60.00,1,3.977,9.642,0.986,9.510,0.00021,0.012,795.08,0.418,11/7/2016
-85.10560840,41.48299102,STOM BAC P0987,16/11/05-06:04:08,CORN,47,5.833,175.40,1.000,943.99,11/7/2016,On,20.00,Yes,12.45,19.30,4650.3,83.04,4441.1,79.31,In,-0.00045,6553.5,0.0026,1.014,0.00,58.00,1,3.977,9.642,0.986,9.510,0.00021,0.012,800.66,0.418,11/7/2016
-85.10560662,41.48297503,STOM BAC P0987,16/11/05-06:04:08,CORN,48,5.741,175.50,1.000,943.97,11/7/2016,On,20.00,Yes,12.83,19.50,4868.6,86.94,4638.1,82.82,In,-0.0023,6553.5,0.0026,0.998,0.00,60.00,1,3.915,9.490,1.002,9.510,0.00021,0.012,825.05,0.412,11/7/2016
-85.10560544,41.48295971,STOM BAC P0987,16/11/05-06:04:08,CORN,49,5.833,175.50,1.000,944.22,11/7/2016,On,20.00,Yes,13.38,19.00,4994.6,89.19,4787.7,85.49,In,-0.0041,6553.5,0.0026,1.014,0.00,60.00,1,3.977,9.642,0.986,9.510,0.00020,0.011,859.95,0.418,11/7/2016
-85.10560361,41.48294414,STOM BAC P0987,16/11/05-06:04:08,CORN,50,5.741,174.30,1.000,944.15,11/7/2016,On,20.00,Yes,14.12,19.00,5354.7,95.62,5132.9,91.66,In,-0.0036,6553.5,0.0026,0.998,0.00,61.00,1,3.915,9.490,1.002,9.510,0.00019,0.010,907.43,0.412,11/7/2016
-85.10560130,41.48292870,STOM BAC P0987,16/11/05-06:04:08,CORN,51,5.833,174.00,1.000,944.09,11/7/2016,On,20.00,Yes,14.10,19.40,5263.4,93.99,5020.5,89.65,In,-0.0023,6553.5,0.0026,1.014,0.00,59.00,1,3.977,9.642,0.986,9.510,0.00019,0.010,906.23,0.418,11/7/2016
-85.10559876,41.48291232,STOM BAC P0987,16/11/05-06:04:08,CORN,52,5.925,173.70,1.000,944.16,11/7/2016,On,20.00,Yes,13.46,19.70,4948.5,88.37,4702.6,83.97,In,-0.00045,6553.5,0.0026,1.030,0.00,65.00,1,4.040,9.794,0.971,9.510,0.00020,0.011,865.43,0.425,11/7/2016
-85.10559611,41.48289586,STOM BAC P0987,16/11/05-06:04:08,CORN,53,6.289,173.30,1.000,944.21,11/7/2016,On,20.00,Yes,16.77,19.70,5808.9,103.73,5520.2,98.57,In,1.032e-008,6553.5,0.0029,0.994,0.00,64.00,1,4.288,10.40,1.006,10.46,0.00017,0.0097,1078.3,0.410,11/7/2016
-85.10559317,41.48287920,STOM BAC P0987,16/11/05-06:04:08,CORN,54,6.198,172.60,1.000,944.31,11/7/2016,On,20.00,Yes,20.57,19.30,7227.5,129.06,6902.5,123.26,In,-0.00091,6553.5,0.0029,0.979,0.00,64.00,1,4.226,10.24,1.021,10.46,0.00014,0.0079,1322.1,0.404,11/7/2016
-85.10559007,41.48286264,STOM BAC P0987,16/11/05-06:04:08,CORN,55,6.198,172.80,1.000,944.39,11/7/2016,On,20.00,Yes,22.34,19.80,7850.6,140.19,7451.1,133.05,In,-0.0036,6553.5,0.0029,0.979,0.00,64.00,1,4.226,10.24,1.021,10.46,0.00013,0.0073,1436.1,0.404,11/7/2016
-85.10558712,41.48284642,STOM BAC P0987,16/11/05-06:04:08,CORN,56,6.198,172.90,1.000,944.32,11/7/2016,On,20.00,Yes,26.08,20.00,9166.6,163.69,8678.4,154.97,In,-0.0041,6553.5,0.0029,0.979,0.00,63.00,1,4.226,10.24,1.021,10.46,0.00011,0.0062,1676.8,0.404,11/7/2016
-85.10558422,41.48283002,STOM BAC P0987,16/11/05-06:04:08,CORN,57,6.198,173.40,1.000,944.41,11/7/2016,On,20.00,Yes,29.02,20.20,10197,182.09,9629.9,171.96,In,-0.0023,6553.5,0.0029,0.979,0.00,65.00,1,4.226,10.24,1.021,10.46,0.00010,0.0056,1865.3,0.404,11/7/2016
-85.10558155,41.48281451,STOM BAC P0987,16/11/05-06:04:08,CORN,58,6.106,173.60,1.000,944.56,11/7/2016,On,20.00,Yes,27.68,19.20,9872.4,176.29,9440.1,168.57,In,-0.0023,6553.5,0.0029,0.965,0.00,67.00,1,4.163,10.09,1.037,10.46,0.00010,0.0059,1779.1,0.398,11/7/2016
-85.10557917,41.48279902,STOM BAC P0987,16/11/05-06:04:08,CORN,59,5.833,174.40,1.000,944.74,11/7/2016,On,20.00,Yes,23.34,18.80,8713.2,155.59,8372.9,149.52,In,-0.00091,6553.5,0.0032,0.845,0.00,64.00,1,3.977,9.642,1.184,11.41,0.00014,0.0076,1500.2,0.349,11/7/2016
-85.10557748,41.48278455,STOM BAC P0987,16/11/05-06:04:08,CORN,60,5.741,175.90,1.000,944.78,11/7/2016,On,20.00,Yes,23.23,19.30,8813.0,157.38,8416.7,150.30,In,-0.00045,6553.5,0.0032,0.832,0.00,65.00,1,3.915,9.490,1.203,11.41,0.00014,0.0076,1493.5,0.343,11/7/2016
-85.10557671,41.48277299,STOM BAC P0987,16/11/05-06:04:08,CORN,61,4.738,179.10,1.000,944.97,11/7/2016,On,20.00,Yes,16.09,19.80,7397.9,132.11,7021.5,125.38,In,-0.00091,6553.5,0.0029,0.749,0.00,60.00,1,3.230,7.831,1.336,10.46,0.00018,0.010,1034.5,0.309,11/7/2016
-85.10557696,41.48276045,STOM BAC P0987,16/11/05-06:04:08,CORN,62,4.738,183.30,1.000,945.08,11/7/2016,On,20.00,Yes,8.419,19.70,3870.4,69.11,3678.0,65.68,In,-0.0041,6553.5,0.0029,0.749,0.00,67.00,1,3.230,7.831,1.336,10.46,0.00035,0.019,541.20,0.309,11/7/2016
-85.10557808,41.48274790,STOM BAC P0987,16/11/05-06:04:08,CORN,63,4.829,186.00,1.000,945.08,11/7/2016,On,20.00,Yes,7.267,19.80,3277.2,58.52,3110.5,55.54,In,-0.0023,6553.5,0.0032,0.699,0.00,61.00,1,3.293,7.982,1.430,11.41,0.00044,0.024,467.15,0.289,11/7/2016
-85.10558046,41.48273687,STOM BAC P0987,16/11/05-06:04:08,CORN,64,4.557,190.40,1.000,945.54,11/7/2016,On,20.00,Yes,6.650,20.30,3178.3,56.76,2997.8,53.53,In,-0.0041,6553.5,0.0029,0.720,0.00,60.00,1,3.107,7.532,1.389,10.46,0.00044,0.024,427.51,0.297,11/7/2016
-85.10558520,41.48272470,STOM BAC P0987,16/11/05-06:04:08,CORN,65,4.649,196.70,1.000,945.83,11/7/2016,On,20.00,Yes,5.166,20.50,2420.4,43.22,2277.2,40.66,In,-0.0023,6553.5,0.0029,0.735,0.00,64.00,1,3.170,7.684,1.361,10.46,0.00056,0.031,332.13,0.303,11/7/2016
-85.10559114,41.48271378,STOM BAC P0987,16/11/05-06:04:08,CORN,66,4.829,200.60,1.000,946.36,11/7/2016,On,20.00,Yes,4.705,20.60,2121.8,37.89,1993.8,35.60,In,1.288e-008,6553.5,0.0029,0.763,0.00,60.00,1,3.293,7.982,1.311,10.46,0.00062,0.035,302.45,0.315,11/7/2016
